categories,distance,geocodes,name
"[{'id': 16006, 'name': 'Bridge', 'short_name': 'Bridge', 'plural_name': 'Bridges', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/bridge_', 'suffix': '.png'}}]",396,"{'main': {'latitude': 60.152405, 'longitude': 24.946537}}",Liuskaluodon Silta
"[{'id': 10000, 'name': 'Arts and Entertainment', 'short_name': 'Arts & Entertainment', 'plural_name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}]",53,"{'drop_off': {'latitude': 60.160541, 'longitude': 24.955814}, 'main': {'latitude': 60.160628, 'longitude': 24.955639}, 'roof': {'latitude': 60.160628, 'longitude': 24.955639}}",Fair Band ry
"[{'id': 10000, 'name': 'Arts and Entertainment', 'short_name': 'Arts & Entertainment', 'plural_name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}]",77,"{'drop_off': {'latitude': 60.160693, 'longitude': 24.955}, 'main': {'latitude': 60.160797, 'longitude': 24.954982}, 'roof': {'latitude': 60.160797, 'longitude': 24.954982}}",Suomen soundpaintingyhdistys ry
"[{'id': 10000, 'name': 'Arts and Entertainment', 'short_name': 'Arts & Entertainment', 'plural_name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}]",104,"{'main': {'latitude': 60.160715, 'longitude': 24.954517}, 'roof': {'latitude': 60.160715, 'longitude': 24.954517}}",Christie' s
"[{'id': 10047, 'name': 'Public Art', 'short_name': 'Public Art', 'plural_name': 'Public Art', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}, {'id': 16000, 'name': 'Landmarks and Outdoors', 'short_name': 'Landmarks and Outdoors', 'plural_name': 'Landmarks and Outdoors', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/default_', 'suffix': '.png'}}]",112,"{'main': {'latitude': 60.161754, 'longitude': 24.955172}}",Haaksirikkoiset-Patsas
"[{'id': 16018, 'name': 'Harbor or Marina', 'short_name': 'Harbor / Marina', 'plural_name': 'Harbors or Marinas', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/harbor_', 'suffix': '.png'}}, {'id': 19021, 'name': 'Pier', 'short_name': 'Piers', 'plural_name': 'Piers', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/ferry_pier_', 'suffix': '.png'}}, {'id': 19054, 'name': 'Public Transportation', 'short_name': 'Public Transportation', 'plural_name': 'Public Transportation', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/taxi_', 'suffix': '.png'}}]",127,"{'main': {'latitude': 60.160903, 'longitude': 24.958352}, 'roof': {'latitude': 60.160903, 'longitude': 24.958352}}",Olympiaterminaali
"[{'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",131,"{'main': {'latitude': 60.160659, 'longitude': 24.958649}, 'roof': {'latitude': 60.160659, 'longitude': 24.958649}}",Henri Häkkinen Oy
"[{'id': 13027, 'name': 'Bistro', 'short_name': 'Bistro', 'plural_name': 'Bistros', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",143,"{'main': {'latitude': 60.160552, 'longitude': 24.958816}}",Bistro O
"[{'id': 10032, 'name': 'Night Club', 'short_name': 'Night Club', 'plural_name': 'Night Clubs', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/nightclub_', 'suffix': '.png'}}]",151,"{'main': {'latitude': 60.161895, 'longitude': 24.958328}}",New York Club & Lounge
"[{'id': 16018, 'name': 'Harbor or Marina', 'short_name': 'Harbor / Marina', 'plural_name': 'Harbors or Marinas', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/harbor_', 'suffix': '.png'}}]",169,"{'main': {'latitude': 60.161632, 'longitude': 24.959089}}",M/S Silja Serenade
"[{'id': 16018, 'name': 'Harbor or Marina', 'short_name': 'Harbor / Marina', 'plural_name': 'Harbors or Marinas', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/harbor_', 'suffix': '.png'}}]",177,"{'main': {'latitude': 60.161694, 'longitude': 24.958406}, 'roof': {'latitude': 60.161694, 'longitude': 24.958406}}",Olympiaterminaali Ms Silja Symphony 6476
"[{'id': 16045, 'name': 'Roof Deck', 'short_name': 'Roof Deck', 'plural_name': 'Roof Decks', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_roofdeck_', 'suffix': '.png'}}]",180,"{'main': {'latitude': 60.161783, 'longitude': 24.959156}}",Sun Deck
"[{'id': 16041, 'name': 'Plaza', 'short_name': 'Plaza', 'plural_name': 'Plazas', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/plaza_', 'suffix': '.png'}}]",184,"{'main': {'latitude': 60.159442, 'longitude': 24.954994}}",Pyhän Henrikin aukio
"[{'id': 13383, 'name': 'Steakhouse', 'short_name': 'Steakhouse', 'plural_name': 'Steakhouses', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/steakhouse_', 'suffix': '.png'}}]",195,"{'main': {'latitude': 60.16232, 'longitude': 24.958588}}",Grill House
"[{'id': 12101, 'name': 'Church', 'short_name': 'Church', 'plural_name': 'Churches', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/religious_church_', 'suffix': '.png'}}, {'id': 16026, 'name': 'Monument', 'short_name': 'Monument', 'plural_name': 'Monuments', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/government_monument_', 'suffix': '.png'}}]",199,"{'main': {'latitude': 60.159403, 'longitude': 24.954533}}",St. Henry's Cathedral
"[{'id': 13030, 'name': 'Buffet', 'short_name': 'Buffet', 'plural_name': 'Buffets', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",202,"{'main': {'latitude': 60.162401, 'longitude': 24.958788}}",Grande Buffet
"[{'id': 13336, 'name': 'Scandinavian Restaurant', 'short_name': 'Scandinavian', 'plural_name': 'Scandinavian Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/scandinavian_', 'suffix': '.png'}}]",202,"{'main': {'latitude': 60.162331, 'longitude': 24.958748}}","Bon Vivant, Wine Bar & Shop"
